//----------------------------------------------------------------------
// Created with uvmf_gen version 2023.4_2
//----------------------------------------------------------------------
// pragma uvmf custom header begin
// pragma uvmf custom header end
//----------------------------------------------------------------------
//----------------------------------------------------------------------
//

,
Interface Description, Interface Type, Interface Transaction, Interface Name,
fetch_env_fetch_in_agent, fetch_in_driver_bfm fetch_in_monitor_bfm, fetch_in_transaction, fetch_in_pkg_fetch_env_fetch_in_agent_BFM,
fetch_env_fetch_out_agent, fetch_out_driver_bfm fetch_out_monitor_bfm, fetch_out_transaction, fetch_out_pkg_fetch_env_fetch_out_agent_BFM,
decode_env_decode_in_agent, decode_in_driver_bfm decode_in_monitor_bfm, decode_in_transaction, decode_in_pkg_decode_env_decode_in_agent_BFM,
decode_env_decode_out_agent, decode_out_driver_bfm decode_out_monitor_bfm, decode_out_transaction, decode_out_pkg_decode_env_decode_out_agent_BFM,
execute_env_execute_in_agent, execute_in_driver_bfm execute_in_monitor_bfm, execute_in_transaction, execute_in_pkg_execute_env_execute_in_agent_BFM,
execute_env_execute_out_agent, execute_out_driver_bfm execute_out_monitor_bfm, execute_out_transaction, execute_out_pkg_execute_env_execute_out_agent_BFM,
writeback_env_writeback_in_agent, writeback_in_driver_bfm writeback_in_monitor_bfm, writeback_in_transaction, writeback_in_pkg_writeback_env_writeback_in_agent_BFM,
writeback_env_writeback_out_agent, writeback_out_driver_bfm writeback_out_monitor_bfm, writeback_out_transaction, writeback_out_pkg_writeback_env_writeback_out_agent_BFM,
memaccess_env_memaccess_in_agent, memaccess_in_driver_bfm memaccess_in_monitor_bfm, memaccess_in_transaction, memaccess_in_pkg_memaccess_env_memaccess_in_agent_BFM,
memaccess_env_memaccess_out_agent, memaccess_out_driver_bfm memaccess_out_monitor_bfm, memaccess_out_transaction, memaccess_out_pkg_memaccess_env_memaccess_out_agent_BFM,
controller_env_controller_in_agent, controller_in_driver_bfm controller_in_monitor_bfm, controller_in_transaction, controller_in_pkg_controller_env_controller_in_agent_BFM,
controller_env_controller_out_agent, controller_out_driver_bfm controller_out_monitor_bfm, controller_out_transaction, controller_out_pkg_controller_env_controller_out_agent_BFM,
imem_agent, imem_driver_bfm imem_monitor_bfm, imem_transaction, imem_pkg_imem_agent_BFM,
dmem_agent, dmem_driver_bfm dmem_monitor_bfm, dmem_transaction, dmem_pkg_dmem_agent_BFM,

